image_id,width,height,bbox,source
2202_3008_7m,3872,640,"[544.9039548022599, 135.4396423248882, 29.830508474576163, 31.47540983606558]",bean
2202_3008_7m,3872,640,"[579.7062146892656, 124.9478390461997, 27.841807909604427, 40.05961251862891]",bean
2202_3008_7m,3872,640,"[609.5367231638418, 141.1624441132638, 11.932203389830647, 19.076005961251866]",bean
2202_3008_7m,3872,640,"[648.316384180791, 123.99403874813711, 30.82485875706209, 34.33681073025335]",bean
2202_3008_7m,3872,640,"[688.090395480226, 146.88524590163934, 29.830508474576277, 30.52160953800299]",bean
2202_3008_7m,3872,640,"[778.5762711864406, 145.93144560357675, 23.864406779661067, 30.521609538002963]",bean
2202_3008_7m,3872,640,"[810.3954802259888, 127.80923994038747, 38.779661016949035, 54.3666169895678]",bean
2202_3008_7m,3872,640,"[938.6666666666667, 130.67064083457527, 34.802259887005675, 45.782414307004444]",bean
2202_3008_7m,3872,640,"[996.3389830508474, 156.42324888226528, 33.807909604519864, 24.79880774962743]",bean
2202_3008_7m,3872,640,"[1076.8813559322034, 155.46944858420267, 46.73446327683632, 23.84500745156484]",bean
2202_3008_7m,3872,640,"[1169.3559322033898, 135.4396423248882, 41.76271186440681, 41.0134128166915]",bean
2202_3008_7m,3872,640,"[1214.1016949152543, 149.74664679582713, 28.83615819209058, 26.70640834575258]",bean
2202_3008_7m,3872,640,"[1289.6723163841807, 138.301043219076, 24.858757062147106, 34.33681073025335]",bean
2202_3008_7m,3872,640,"[1317.5141242937852, 140.20864381520119, 18.892655367231782, 44.828614008941884]",bean
2202_3008_7m,3872,640,"[1449.7627118644068, 137.34724292101342, 25.85310734463269, 26.706408345752607]",bean
2202_3008_7m,3872,640,"[1526.3276836158193, 157.37704918032787, 36.7909604519773, 20.029806259314455]",bean
2202_3008_7m,3872,640,"[1632.723163841808, 148.79284649776454, 26.84745762711873, 40.05961251862888]",bean
2202_3008_7m,3872,640,"[1698.3502824858756, 154.51564828614008, 28.83615819209058, 30.52160953800299]",bean
2202_3008_7m,3872,640,"[1759.0056497175142, 149.74664679582713, 29.830508474576163, 23.84500745156481]",bean
2202_3008_7m,3872,640,"[1575.0508474576272, 139.2548435171386, 21.87570621468899, 40.05961251862891]",bean
2202_3008_7m,3872,640,"[1895.2316384180792, 164.05365126676602, 7.954802259886947, 7.630402384500741]",bean
2202_3008_7m,3872,640,"[1954.8926553672318, 149.74664679582713, 27.84180790960454, 53.41281669150521]",bean
2202_3008_7m,3872,640,"[2007.593220338983, 150.70044709388972, 27.84180790960454, 36.244411326378525]",bean
2202_3008_7m,3872,640,"[2048.361581920904, 152.6080476900149, 40.768361581920544, 45.78241430700447]",bean
2202_3008_7m,3872,640,"[2113.988700564972, 161.19225037257823, 21.875706214688762, 35.290611028315965]",bean
2202_3008_7m,3872,640,"[2220.3841807909603, 153.5618479880775, 18.892655367231782, 21.93740685543966]",bean
2202_3008_7m,3872,640,"[2269.107344632768, 156.42324888226528, 36.79096045197775, 36.244411326378525]",bean
2202_3008_7m,3872,640,"[2320.813559322034, 158.33084947839046, 30.824858757061975, 41.01341281669153]",bean
2202_3008_7m,3872,640,"[2364.5649717514125, 156.42324888226528, 42.75706214689262, 27.660208643815224]",bean
2202_3008_7m,3872,640,"[2425.2203389830506, 164.05365126676602, 20.881355932203405, 14.307004470938892]",bean
2202_3008_7m,3872,640,"[2497.80790960452, 165.96125186289123, 18.892655367231782, 19.076005961251838]",bean
2202_3008_7m,3872,640,"[2547.5254237288136, 166.9150521609538, 17.89830508474597, 34.336810730253376]",bean
2202_3008_7m,3872,640,"[2573.378531073446, 163.09985096870344, 26.84745762711873, 32.42921013412817]",bean
2202_3008_7m,3872,640,"[2615.141242937853, 158.33084947839046, 19.887005649717594, 46.73621460506706]",bean
