image_id,plant_pop_total,avg_dist_plot,2pl_plot,gap_plant_plot
2202_3008_7m,109,8.775387182034093,10,10
2202_3007_7m,115,8.649905017996122,12,17
2202_3006_7m,126,8.161112455057461,15,16
2202_3001_7m,134,7.8085554431276565,22,9
2202_3002_7m,126,8.479519793284487,8,10
2202_3003_7m,123,7.927041886700083,12,8
2202_3004_7m,120,9.007056186936296,12,14
2202_3005_7m,124,8.654302382704362,7,9
2202_2030_7m,110,8.373839357021867,10,10
2202_2029_7m,125,9.082031588164993,12,16
2202_2028_7m,124,8.335846176680267,16,12
2202_2027_7m,138,7.755195895140315,17,9
2202_2026_7m,128,7.878042948243231,12,9
2202_1030_7m,66,12.696464076403608,3,25
2202_1029_7m,139,7.2361417822418925,16,4
2202_1028_7m,115,8.700698772926213,2,11
2202_1027_7m,125,7.882278052031541,13,7
2202_1026_7m,81,11.844519109042936,0,21
2201_2036_7m,122,8.451168905563138,6,10
2201_2035_7m,72,13.629986739093088,2,24
2201_2034_7m,115,8.722985245985328,12,12
2201_2033_7m,134,7.98793607232776,9,10
2201_2032_7m,110,7.742268134166365,9,9
2201_2031_7m,133,7.864790485490599,7,5
2201_1036_7m,134,7.899057989031376,9,10
2201_1035_7m,146,7.423282103932483,12,9
2201_1034_7m,125,8.012510608044414,16,8
2201_1033_7m,150,7.414153754877818,21,7
2201_1032_7m,129,8.342764789410388,5,8
2201_1031_7m,137,7.831825131114355,8,5
2201_1025_7m,139,7.619527675189763,9,5
2201_1026_7m,114,8.483447628162386,6,9
2201_1027_7m,100,10.52435652720043,1,18
2201_1028_7m,114,8.827425059157905,14,15
2201_1029_7m,128,8.180750876274832,7,10
2201_1030_7m,118,8.400732706175726,9,11
2201_2025_7m,132,7.895489372889644,9,7
2201_2026_7m,137,7.57056396543334,5,8
2201_2027_7m,126,8.303449658895406,14,13
2201_2028_7m,119,8.46957708141636,5,10
2201_2029_7m,112,9.225508437859474,7,13
2201_2030_7m,126,8.423179173413315,2,9
2202_1021_7m,128,8.252522765855147,3,6
2202_1022_7m,130,8.286538009408368,6,6
2202_1023_7m,125,8.457307808040667,6,12
2202_1024_7m,130,7.860375372096403,12,11
2202_1025_7m,129,8.028312112077293,5,8
2202_2021_7m,133,8.19248353464046,16,13
2202_2022_7m,151,7.191027824853684,19,6
2202_2023_7m,129,8.361708303564825,9,9
2202_2024_7m,121,8.827115647339468,14,18
2202_2025_7m,140,7.6433070095451905,11,5
2202_2020_7m,135,7.72918321666992,17,8
2202_2019_7m,82,11.107062019733155,7,23
2202_2018_7m,123,8.701678821379803,10,9
2202_2017_7m,126,8.201711143569973,18,17
2202_2016_7m,141,7.173379329352841,22,4
2202_1020_7m,117,8.58426400911435,5,9
2202_1019_7m,108,9.298860401253974,0,15
2202_1018_7m,123,8.68136914919482,8,15
2202_1017_7m,119,8.741729990089135,9,15
2202_1016_7m,128,8.382048908242163,9,11
2201_2024_7m,107,9.915824416997959,1,18
2201_2023_7m,127,8.196371888931365,8,10
2201_2022_7m,123,8.391478083401836,7,11
2201_2021_7m,129,8.14841564127896,11,11
2201_2020_7m,105,9.297653042297005,0,14
2201_2019_7m,117,8.870050107574732,12,11
2201_1024_7m,138,7.861556588061989,12,6
2201_1023_7m,125,8.229247515930274,11,12
2201_1022_7m,143,7.509581805341507,15,7
2201_1021_7m,126,8.487220355052214,12,13
2201_1020_7m,107,9.0504811988727,9,16
2201_1019_7m,105,10.138453950778354,4,20
2201_1013_7m,132,7.354618812127311,10,6
2201_1014_7m,111,9.299094951590783,0,17
2201_1015_7m,118,8.256686698886634,8,9
2201_1016_7m,121,8.81829449257218,8,15
2201_1017_7m,143,7.3893949088446025,17,6
2201_1018_7m,130,8.046070305234792,6,6
2201_2013_7m,95,10.99835054255179,0,19
2201_2014_7m,109,8.253152516326216,8,12
2201_2015_7m,126,7.9017860577251495,9,8
2201_2016_7m,114,8.950981568476244,11,18
2201_2017_7m,122,8.59033167939535,6,10
2201_2018_7m,127,8.437268526196844,6,10
2202_1011_7m,107,9.803991382578685,3,15
2202_1012_7m,136,7.974756758419958,11,8
2202_1013_7m,142,7.586161840527891,12,6
2202_1014_7m,120,8.175662132704696,7,9
2202_1015_7m,124,8.359836873354212,7,11
2202_2011_7m,131,8.227339951447767,10,11
2202_2012_7m,141,7.438522658488493,26,8
2202_2013_7m,136,7.84910381936787,23,15
2202_2014_7m,127,7.647950886593419,13,7
2202_2015_7m,130,8.226193673850155,16,13
2202_2010_7m,131,7.168673662635066,30,8
2202_2009_7m,111,8.48407216905987,8,11
2202_2008_7m,138,7.415865075372104,17,8
2202_2007_7m,115,8.55688474872187,13,9
2202_2006_7m,131,7.840926532269477,12,4
2202_1010_7m,127,8.229150474914695,6,6
2202_1009_7m,114,9.000577160031185,1,9
2202_1008_7m,118,9.05722190461564,5,13
2202_1007_7m,121,8.645052546852693,8,12
2202_1006_7m,112,8.917182063206576,5,15
2201_2012_7m,120,8.839333900431013,3,8
2201_2011_7m,130,8.11646355406884,7,7
2201_2010_7m,120,8.360007737601387,8,10
2201_2009_7m,109,9.75966136320658,3,15
2201_2008_7m,126,8.003962635643674,8,9
2201_2007_7m,112,8.90077802345775,5,15
2201_1012_7m,134,7.942661921509949,6,7
2201_1011_7m,120,8.674996767926878,3,10
2201_1010_7m,136,7.850458445104209,4,5
2201_1009_7m,136,7.93162955150931,5,9
2201_1008_7m,126,8.249120428596283,8,11
2201_1007_7m,121,7.92193613023202,13,11
2201_1001_7m,114,9.079145257760793,6,12
2201_1002_7m,119,8.512013793578177,7,11
2201_1003_7m,128,8.288465749479208,9,7
2201_1004_7m,128,8.178971766227368,6,8
2201_1005_7m,131,8.057434287949079,10,11
2201_1006_7m,100,8.852670607609351,8,16
2201_2001_7m,132,7.937774719923007,10,10
2201_2002_7m,103,9.03526649915224,5,14
2201_2003_7m,132,8.119702679462522,6,10
2201_2004_7m,132,7.991803965308872,10,9
2201_2005_7m,133,7.846313139574179,9,7
2201_2006_7m,129,7.744067929891173,14,7
2202_1001_7m,121,8.902606254483523,5,14
2202_1002_7m,131,7.990801933440145,8,11
2202_1003_7m,104,10.078748703172314,8,20
2202_1004_7m,124,8.594527275427817,15,11
2202_1005_7m,126,8.92107372239702,14,10
2202_2001_7m,131,8.025521695315158,10,8
2202_2002_7m,128,8.213306851851032,16,9
2202_2003_7m,130,7.969083719662907,20,13
2202_2004_7m,145,7.250938054265873,18,6
2202_2005_7m,118,8.58480123728885,15,11
