Global_ID,Rng,Pas,StandCount_gr
2201_1001,1,3,136
2201_1002,1,4,158
2201_1003,1,5,153
2201_1004,1,6,145
2201_1005,1,7,138
2201_1006,1,8,114
2201_2001,1,9,146
2201_2002,1,10,126
2201_2003,1,11,151
2201_2004,1,12,163
2201_2005,1,13,145
2201_2006,1,14,148
2202_1001,1,15,145
2202_1002,1,16,149
2202_1003,1,17,119
2202_1004,1,18,153
2202_1005,1,19,161
2202_2001,1,20,155
2202_2002,1,21,145
2202_2003,1,22,148
2202_2004,1,23,154
2202_2005,1,24,145
2201_1007,2,3,153
2201_1008,2,4,154
2201_1009,2,5,141
2201_1010,2,6,148
2201_1011,2,7,142
2201_1012,2,8,157
2201_2007,2,9,138
2201_2008,2,10,144
2201_2009,2,11,121
2201_2010,2,12,140
2201_2011,2,13,155
2201_2012,2,14,132
2202_1006,2,15,134
2202_1007,2,16,149
2202_1008,2,17,144
2202_1009,2,18,154
2202_1010,2,19,147
2202_2006,2,20,150
2202_2007,2,21,145
2202_2008,2,22,154
2202_2009,2,23,126
2202_2010,2,24,148
2201_1013,3,3,156
2201_1014,3,4,155
2201_1015,3,5,155
2201_1016,3,6,137
2201_1017,3,7,163
2201_1018,3,8,150
2201_2013,3,9,130
2201_2014,3,10,129
2201_2015,3,11,143
2201_2016,3,12,130
2201_2017,3,13,149
2201_2018,3,14,162
2202_1011,3,15,151
2202_1012,3,16,143
2202_1013,3,17,158
2202_1014,3,18,145
2202_1015,3,19,151
2202_2011,3,20,145
2202_2012,3,21,145
2202_2013,3,22,145
2202_2014,3,23,142
2202_2015,3,24,145
2201_1019,4,3,122
2201_1020,4,4,121
2201_1021,4,5,145
2201_1022,4,6,153
2201_1023,4,7,142
2201_1024,4,8,156
2201_2019,4,9,151
2201_2020,4,10,125
2201_2021,4,11,157
2201_2022,4,12,154
2201_2023,4,13,158
2201_2024,4,14,132
2202_1016,4,15,162
2202_1017,4,16,152
2202_1018,4,17,144
2202_1019,4,18,146
2202_1020,4,19,153
2202_2016,4,20,155
2202_2017,4,21,139
2202_2018,4,22,136
2202_2019,4,23,113
2202_2020,4,24,154
2201_1025,5,3,162
2201_1026,5,4,145
2201_1027,5,5,136
2201_1028,5,6,138
2201_1029,5,7,149
2201_1030,5,8,132
2201_2025,5,9,139
2201_2026,5,10,153
2201_2027,5,11,140
2201_2028,5,12,140
2201_2029,5,13,146
2201_2030,5,14,153
2202_1021,5,15,152
2202_1022,5,16,157
2202_1023,5,17,145
2202_1024,5,18,153
2202_1025,5,19,157
2202_2021,5,20,154
2202_2022,5,21,166
2202_2023,5,22,149
2202_2024,5,23,130
2202_2025,5,24,160
2201_1031,6,3,157
2201_1032,6,4,140
2201_1033,6,5,148
2201_1034,6,6,135
2201_1035,6,7,158
2201_1036,6,8,150
2201_2031,6,9,154
2201_2032,6,10,123
2201_2033,6,11,155
2201_2034,6,12,125
2201_2035,6,13,98
2201_2036,6,14,153
2202_1026,6,15,99
2202_1027,6,16,151
2202_1028,6,17,153
2202_1029,6,18,154
2202_1030,6,19,75
2202_2026,6,20,147
2202_2027,6,21,148
2202_2028,6,22,141
2202_2029,6,23,137
2202_2030,6,24,127
2201_3001,7,3,NA
2201_3002,7,4,NA
2201_3003,7,5,NA
2201_3004,7,6,NA
2201_3005,7,7,NA
2201_3006,7,8,NA
2201_4001,7,9,NA
2201_4002,7,10,NA
2201_4003,7,11,NA
2201_4004,7,12,NA
2201_4005,7,13,NA
2201_4006,7,14,NA
2202_3001,7,15,NA
2202_3002,7,16,NA
2202_3003,7,17,NA
2202_3004,7,18,NA
2202_3005,7,19,NA
2202_4001,7,20,NA
2202_4002,7,21,NA
