Global_ID,Plot,ENTRY,REP,IBLK,Rng,Pas,Name,Identity1,Pedigree,Trial,Origin,Selection,Description1,Year,Location,Planter,Harvester,PLOTWT,MOIST,FLWR,HT,LDG,MTR,DS,P_FT,NOTES,yield,CBB,DD,SDWT2,StandCount_gr,boxes_gt,pred_count_01,boxes_gt_10m_6_13_22,pred_count_7m_6_10_22,plant_pop_total,avg_dist_plot,2pl_plot,gap_plant_plot
2201_1001,1001,31,1,1,1,3,B21707,NA,B15430/B16504,2201,18B217-09-04,20T2288,18A0217-18L216-18-19T507-19T1227-20T2288,2022,SVREC,27,3,1251.94,21.02,47,45,2,101,5,16,NA,21.73,1,2,21.36,136,114,94,85,63,114,9.079145258,6,12
2201_1002,1002,30,1,1,1,4,B21717,NA,B16504/B17106,2201,18B236-07-02,20T2393,18A0236-18L233-18-19T628-19T1291-20T2393,2022,SVREC,52,4,1079.57,20.94,47,41,1,101,5,16,NA,18.76,1,2,20.96,158,119,106,107,76,119,8.512013794,7,11
2201_1003,1003,8,1,1,1,5,B20597,NA,B16506/B15430,2201,18B261-02-01,19-20T817,18A0261-18L257-18-19T771-19T1361-19-20T817,2022,SVREC,53,5,1056.89,20.49,48,46,2,99,4,16,NA,18.47,1,2,24.58,153,128,120,107,76,128,8.288465749,9,7
2201_1004,1004,1,1,1,1,6,B20536,NA,B15430/B16504,2201,18B217-10-02,19-20T626,18A0217-18L216-18-19T508-19T1228-19-20T626,2022,SVREC,78,6,1315.44,21.08,48,51,2,102,6,16,NA,22.82,1,3,20.9,145,128,118,106,82,128,8.178971766,6,8
2201_1005,1005,24,1,1,1,7,B21710,NA,B16501/B15430,2201,18B227-08-03,20T2317,18A0227-18L224-18-19T570-19T1259-20T2317,2022,SVREC,79,7,1446.98,19.8,47,44,2,101,5,16,NA,25.51,1,3,22.39,138,131,109,103,62,131,8.057434288,10,11
2201_1006,1006,23,1,1,1,8,B04554,ZORRO,"B00103*/X00822, ZORRO",2201,01B008 -04-01-06,NA,NA,2022,SVREC,104,8,938.95,18.67,47,47,3,101,3,16,NA,16.79,1,4,19.45,114,100,103,85,46,100,8.852670608,8,16
2201_1007,1007,15,1,2,2,3,B19332,NA,B16501/B15464,2201,17B238-02-02,18-19T1098,17A0238-17L253-17-18T732-18T1262-18-19T1098,2022,SVREC,28,398,1075.03,20.98,47,35,1,98,4,16,NA,18.67,1,1,23.29,148,131,112,110,68,131,7.168673663,30,8
2201_1008,1008,7,1,2,2,4,B19344,NA,B16506/B16507,2201,17B247-01-04,18-19T1121,17A0247-17L268-17-18T786-18T1277-18-19T1121,2022,SVREC,51,397,1206.58,20.51,46,40,1,101,4,16,NA,21.08,1,2,23.77,126,111,92,94,54,111,8.484072169,8,11
2201_1009,1009,26,1,2,2,5,B21714,NA,B16501/B16504,2201,18B228-07-05,20T2336,18A0228-18L225-18-19T579-19T1264-20T2336,2022,SVREC,54,396,1088.64,20.45,48,42,1,100,5,16,NA,19.04,1,1,23.34,154,138,116,108,71,138,7.415865075,17,8
2201_1010,1010,28,1,2,2,6,B21724,NA,B17996/B17540,2201,18B344-01-05,20T2585,18A0344-18L337-18-19T998-19T1463-20T2585,2022,SVREC,77,395,1183.9,19.79,49,43,3,102,4,16,NA,20.87,1,3,19.92,145,115,97,86,59,115,8.556884749,13,9
