image_id_ori,image_id,Type,SC
22011001,1,boxes_gt,114
22011002,4,boxes_gt,119
22011003,7,boxes_gt,128
22011004,10,boxes_gt,128
22011005,13,boxes_gt,131
22011006,16,boxes_gt,100
22011007,19,boxes_gt,121
22011008,22,boxes_gt,126
22011009,25,boxes_gt,136
22011010,28,boxes_gt,136
22011011,31,boxes_gt,120
22011012,34,boxes_gt,134
22011013,37,boxes_gt,132
22011014,40,boxes_gt,111
22011015,43,boxes_gt,118
22011016,46,boxes_gt,121
22011017,49,boxes_gt,143
22011018,52,boxes_gt,130
22011019,55,boxes_gt,105
22011020,58,boxes_gt,107
22011021,61,boxes_gt,126
22011022,64,boxes_gt,143
22011023,67,boxes_gt,125
22011024,70,boxes_gt,138
22011025,73,boxes_gt,139
22011026,76,boxes_gt,114
22011027,79,boxes_gt,100
22011028,82,boxes_gt,114
22011029,85,boxes_gt,128
22011030,88,boxes_gt,118
22011031,91,boxes_gt,137
22011032,94,boxes_gt,129
22011033,97,boxes_gt,150
22011034,100,boxes_gt,125
22011035,103,boxes_gt,146
22011036,106,boxes_gt,134
22012001,109,boxes_gt,132
22012002,112,boxes_gt,103
22012003,115,boxes_gt,132
22012004,118,boxes_gt,132
22012005,121,boxes_gt,133
22012006,124,boxes_gt,129
22012007,127,boxes_gt,112
22012008,130,boxes_gt,126
22012009,133,boxes_gt,109
22012010,136,boxes_gt,120
22012011,139,boxes_gt,130
22012012,142,boxes_gt,120
22012013,145,boxes_gt,95
22012014,148,boxes_gt,109
22012015,151,boxes_gt,126
22012016,154,boxes_gt,114
22012017,157,boxes_gt,122
22012018,160,boxes_gt,127
22012019,163,boxes_gt,117
22012020,166,boxes_gt,105
22012021,169,boxes_gt,129
22012022,172,boxes_gt,123
22012023,175,boxes_gt,127
22012024,178,boxes_gt,107
22012025,181,boxes_gt,132
22012026,184,boxes_gt,137
22012027,187,boxes_gt,126
22012028,190,boxes_gt,119
22012029,193,boxes_gt,112
22012030,196,boxes_gt,126
22012031,199,boxes_gt,133
22012032,202,boxes_gt,110
22012033,205,boxes_gt,134
22012034,208,boxes_gt,115
22012035,211,boxes_gt,72
22012036,214,boxes_gt,122
22021001,217,boxes_gt,121
22021002,220,boxes_gt,131
22021003,223,boxes_gt,104
22021004,226,boxes_gt,124
22021005,229,boxes_gt,126
22021006,232,boxes_gt,112
22021007,235,boxes_gt,121
22021008,238,boxes_gt,118
22021009,241,boxes_gt,114
22021010,244,boxes_gt,127
22021011,247,boxes_gt,107
22021012,250,boxes_gt,136
22021013,253,boxes_gt,142
22021014,256,boxes_gt,120
22021015,259,boxes_gt,124
22021016,262,boxes_gt,128
22021017,265,boxes_gt,119
22021018,268,boxes_gt,123
22021019,271,boxes_gt,108
22021020,274,boxes_gt,117
22021021,277,boxes_gt,128
22021022,280,boxes_gt,130
22021023,283,boxes_gt,125
22021024,286,boxes_gt,130
22021025,289,boxes_gt,129
22021026,292,boxes_gt,81
22021027,295,boxes_gt,125
22021028,298,boxes_gt,115
22021029,301,boxes_gt,139
22021030,304,boxes_gt,66
22022001,307,boxes_gt,131
22022002,310,boxes_gt,128
22022003,313,boxes_gt,130
22022004,316,boxes_gt,145
22022005,319,boxes_gt,118
22022006,322,boxes_gt,131
22022007,325,boxes_gt,115
22022008,328,boxes_gt,138
22022009,331,boxes_gt,111
22022010,334,boxes_gt,131
22022011,337,boxes_gt,131
22022012,340,boxes_gt,141
22022013,343,boxes_gt,136
22022014,346,boxes_gt,127
22022015,349,boxes_gt,130
22022016,352,boxes_gt,141
22022017,355,boxes_gt,126
22022018,358,boxes_gt,123
22022019,361,boxes_gt,82
22022020,364,boxes_gt,135
22022021,367,boxes_gt,133
22022022,370,boxes_gt,151
22022023,373,boxes_gt,129
22022024,376,boxes_gt,121
22022025,379,boxes_gt,140
22022026,382,boxes_gt,128
22022027,385,boxes_gt,138
22022028,388,boxes_gt,125
22022029,391,boxes_gt,125
22022030,394,boxes_gt,110
22011001,2,pred_count,94
22011002,5,pred_count,106
22011003,8,pred_count,120
22011004,11,pred_count,118
22011005,14,pred_count,109
22011006,17,pred_count,103
22011007,20,pred_count,117
22011008,23,pred_count,105
22011009,26,pred_count,114
22011010,29,pred_count,119
22011011,32,pred_count,112
22011012,35,pred_count,109
22011013,38,pred_count,103
22011014,41,pred_count,100
22011015,44,pred_count,104
22011016,47,pred_count,107
22011017,50,pred_count,108
22011018,53,pred_count,104
22011019,56,pred_count,98
22011020,59,pred_count,86
22011021,62,pred_count,97
22011022,65,pred_count,114
22011023,68,pred_count,109
22011024,71,pred_count,111
22011025,74,pred_count,114
22011026,77,pred_count,97
22011027,80,pred_count,88
22011028,83,pred_count,91
22011029,86,pred_count,105
22011030,89,pred_count,103
