image_id2,image_id,type,SC
2201_1001,1,boxes_gt,114
2201_1002,4,boxes_gt,119
2201_1003,7,boxes_gt,128
2201_1004,10,boxes_gt,128
2201_1005,13,boxes_gt,131
2201_1006,16,boxes_gt,100
2201_1007,19,boxes_gt,121
2201_1008,24,boxes_gt,126
2201_1009,29,boxes_gt,136
2201_1010,34,boxes_gt,136
2201_1011,39,boxes_gt,120
2201_1012,44,boxes_gt,134
2201_1013,47,boxes_gt,132
2201_1014,50,boxes_gt,111
2201_1015,53,boxes_gt,118
2201_1016,56,boxes_gt,121
2201_1017,59,boxes_gt,143
2201_1018,62,boxes_gt,130
2201_1019,65,boxes_gt,105
2201_1020,70,boxes_gt,107
2201_1021,75,boxes_gt,126
2201_1022,80,boxes_gt,143
2201_1023,85,boxes_gt,125
2201_1024,90,boxes_gt,138
2201_1025,93,boxes_gt,139
2201_1026,96,boxes_gt,114
2201_1027,99,boxes_gt,100
2201_1028,102,boxes_gt,114
2201_1029,105,boxes_gt,128
2201_1030,108,boxes_gt,118
2201_1031,111,boxes_gt,137
2201_1032,116,boxes_gt,129
2201_1033,121,boxes_gt,150
2201_1034,126,boxes_gt,125
2201_1035,131,boxes_gt,146
2201_1036,136,boxes_gt,134
2201_2001,139,boxes_gt,132
2201_2002,142,boxes_gt,103
2201_2003,145,boxes_gt,132
2201_2004,148,boxes_gt,132
2201_2005,151,boxes_gt,133
2201_2006,154,boxes_gt,129
2201_2007,157,boxes_gt,112
2201_2008,160,boxes_gt,126
2201_2009,163,boxes_gt,109
2201_2010,166,boxes_gt,120
2201_2011,169,boxes_gt,130
2201_2012,172,boxes_gt,120
2201_2013,175,boxes_gt,95
2201_2014,178,boxes_gt,109
2201_2015,181,boxes_gt,126
2201_2016,184,boxes_gt,114
2201_2017,187,boxes_gt,122
2201_2018,190,boxes_gt,127
2201_2019,193,boxes_gt,117
2201_2020,196,boxes_gt,105
2201_2021,199,boxes_gt,129
2201_2022,202,boxes_gt,123
2201_2023,205,boxes_gt,127
2201_2024,208,boxes_gt,107
2201_2025,211,boxes_gt,132
2201_2026,214,boxes_gt,137
2201_2027,217,boxes_gt,126
2201_2028,220,boxes_gt,119
2201_2029,223,boxes_gt,112
2201_2030,226,boxes_gt,126
2201_2031,229,boxes_gt,133
2201_2032,232,boxes_gt,110
2201_2033,235,boxes_gt,134
2201_2034,238,boxes_gt,115
2201_2035,241,boxes_gt,72
2201_2036,244,boxes_gt,122
2202_1001,257,boxes_gt,121
2202_1002,260,boxes_gt,131
2202_1003,263,boxes_gt,104
2202_1004,266,boxes_gt,124
2202_1005,269,boxes_gt,126
2202_1006,272,boxes_gt,112
2202_1007,275,boxes_gt,121
2202_1008,278,boxes_gt,118
2202_1009,281,boxes_gt,114
2202_1010,284,boxes_gt,127
2202_1011,287,boxes_gt,107
2202_1012,290,boxes_gt,136
2202_1013,293,boxes_gt,142
2202_1014,296,boxes_gt,120
2202_1015,299,boxes_gt,124
2202_1016,302,boxes_gt,128
2202_1017,305,boxes_gt,119
2202_1018,308,boxes_gt,123
2202_1019,311,boxes_gt,108
2202_1020,314,boxes_gt,117
2202_1021,317,boxes_gt,128
2202_1022,320,boxes_gt,130
2202_1023,323,boxes_gt,125
2202_1024,326,boxes_gt,130
2202_1025,329,boxes_gt,129
2202_1026,332,boxes_gt,81
2202_1027,335,boxes_gt,125
2202_1028,338,boxes_gt,115
2202_1029,341,boxes_gt,139
2202_1030,344,boxes_gt,66
2202_2001,347,boxes_gt,131
2202_2002,350,boxes_gt,128
2202_2003,353,boxes_gt,130
2202_2004,356,boxes_gt,145
2202_2005,359,boxes_gt,118
2202_2006,362,boxes_gt,131
2202_2007,365,boxes_gt,115
2202_2008,368,boxes_gt,138
2202_2009,371,boxes_gt,111
2202_2010,374,boxes_gt,131
2202_2011,377,boxes_gt,131
2202_2012,380,boxes_gt,141
2202_2013,383,boxes_gt,136
2202_2014,386,boxes_gt,127
2202_2015,389,boxes_gt,130
2202_2016,392,boxes_gt,141
2202_2017,395,boxes_gt,126
2202_2018,398,boxes_gt,123
2202_2019,401,boxes_gt,82
2202_2020,404,boxes_gt,135
2202_2021,407,boxes_gt,133
2202_2022,410,boxes_gt,151
2202_2023,413,boxes_gt,129
2202_2024,416,boxes_gt,121
2202_2025,419,boxes_gt,140
2202_2026,422,boxes_gt,128
2202_2027,425,boxes_gt,138
2202_2028,428,boxes_gt,125
2202_2029,431,boxes_gt,125
2202_2030,434,boxes_gt,110
2201_1001,2,pred_count_10m,85
2201_1002,5,pred_count_10m,107
2201_1003,8,pred_count_10m,107
2201_1004,11,pred_count_10m,106
2201_1005,14,pred_count_10m,103
2201_1006,17,pred_count_10m,85
2201_1007,20,pred_count_10m,96
