image_id,pred_count,boxes_gt
2202_3008,64,109
2202_3007,60,115
2202_3006,64,126
2202_3001,61,134
2202_3002,70,126
2202_3003,68,123
2202_3004,64,120
2202_3005,66,124
2202_2030,57,110
2202_2029,62,125
2202_2028,63,124
2202_2027,73,138
2202_2026,64,128
2202_1030,32,66
2202_1029,70,139
2202_1028,80,115
2202_1027,73,125
2202_1026,39,81
2201_2036,81,122
2201_2035,40,72
2201_2034,45,115
2201_2033,59,134
2201_2032,63,110
2201_2031,52,133
2201_1036,75,134
2201_1035,72,146
2201_1034,67,125
2201_1033,76,150
2201_1032,63,129
2201_1031,77,137
2201_1025,75,139
2201_1026,67,114
2201_1027,66,100
2201_1028,68,114
2201_1029,68,128
2201_1030,63,118
2201_2025,73,132
2201_2026,79,137
2201_2027,62,126
2201_2028,58,119
2201_2029,55,112
2201_2030,80,126
2202_1021,86,128
2202_1022,76,130
2202_1023,70,125
2202_1024,76,130
2202_1025,73,129
2202_2021,64,133
2202_2022,90,151
2202_2023,76,129
2202_2024,63,121
2202_2025,68,140
2202_2020,68,135
2202_2019,43,82
2202_2018,74,123
2202_2017,59,126
2202_2016,72,141
2202_1020,59,117
2202_1019,52,108
2202_1018,67,123
2202_1017,66,119
2202_1016,73,128
2201_2024,73,107
2201_2023,76,127
2201_2022,59,123
2201_2021,63,129
2201_2020,55,105
2201_2019,58,117
2201_1024,72,138
2201_1023,61,125
2201_1022,61,143
2201_1021,53,126
2201_1020,67,107
2201_1019,60,105
2201_1013,80,132
2201_1014,74,111
2201_1015,83,118
2201_1016,76,121
2201_1017,60,143
2201_1018,79,130
2201_2013,64,95
2201_2014,62,109
2201_2015,71,126
2201_2016,70,114
2201_2017,60,122
2201_2018,68,127
2202_1011,73,107
2202_1012,80,136
2202_1013,76,142
2202_1014,60,120
2202_1015,74,124
2202_2011,72,131
2202_2012,70,141
2202_2013,60,136
2202_2014,66,127
2202_2015,72,130
2202_2010,68,131
2202_2009,54,111
2202_2008,71,138
2202_2007,59,115
2202_2006,67,131
2202_1010,69,127
2202_1009,59,114
2202_1008,61,118
2202_1007,75,121
2202_1006,51,112
2201_2012,77,120
2201_2011,97,130
2201_2010,62,120
2201_2009,57,109
2201_2008,74,126
2201_2007,65,112
2201_1012,76,134
2201_1011,71,120
2201_1010,75,136
2201_1009,72,136
2201_1008,65,126
2201_1007,65,121
2201_1001,63,114
2201_1002,76,119
2201_1003,76,128
2201_1004,82,128
2201_1005,62,131
2201_1006,46,100
2201_2001,79,132
2201_2002,55,103
2201_2003,74,132
2201_2004,72,132
2201_2005,74,133
2201_2006,91,129
2202_1001,70,121
2202_1002,68,131
2202_1003,54,104
2202_1004,59,124
2202_1005,70,126
2202_2001,75,131
2202_2002,69,128
2202_2003,67,130
2202_2004,80,145
2202_2005,67,118
