image_id,pred_count,boxes_gt
2202_3008,85,109
2202_3007,90,115
2202_3006,99,126
2202_3001,113,134
2202_3002,102,126
2202_3003,109,123
2202_3004,104,120
2202_3005,102,124
2202_2030,86,110
2202_2029,94,125
2202_2028,87,124
2202_2027,110,138
2202_2026,103,128
2202_1030,53,66
2202_1029,105,139
2202_1028,102,115
2202_1027,100,125
2202_1026,71,81
2201_2036,93,122
2201_2035,68,72
2201_2034,88,115
2201_2033,108,134
2201_2032,93,110
2201_2031,99,133
2201_1036,106,134
2201_1035,103,146
2201_1034,102,125
2201_1033,108,150
2201_1032,106,129
2201_1031,112,137
2201_1025,114,139
2201_1026,90,114
2201_1027,87,100
2201_1028,89,114
2201_1029,105,128
2201_1030,94,118
2201_2025,100,132
2201_2026,101,137
2201_2027,95,126
2201_2028,89,119
2201_2029,85,112
2201_2030,98,126
2202_1021,106,128
2202_1022,104,130
2202_1023,102,125
2202_1024,107,130
2202_1025,103,129
2202_2021,100,133
2202_2022,110,151
2202_2023,108,129
2202_2024,96,121
2202_2025,109,140
2202_2020,99,135
2202_2019,65,82
2202_2018,97,123
2202_2017,93,126
2202_2016,100,141
2202_1020,97,117
2202_1019,100,108
2202_1018,104,123
2202_1017,100,119
2202_1016,94,128
2201_2024,97,107
2201_2023,104,127
2201_2022,97,123
2201_2021,106,129
2201_2020,86,105
2201_2019,96,117
2201_1024,107,138
2201_1023,103,125
2201_1022,110,143
2201_1021,100,126
2201_1020,85,107
2201_1019,87,105
2201_1013,102,132
2201_1014,102,111
2201_1015,101,118
2201_1016,100,121
2201_1017,92,143
2201_1018,95,130
2201_2013,95,95
2201_2014,92,109
2201_2015,100,126
2201_2016,94,114
2201_2017,102,122
2201_2018,109,127
2202_1011,104,107
2202_1012,106,136
2202_1013,108,142
2202_1014,101,120
2202_1015,117,124
2202_2011,106,131
2202_2012,106,141
2202_2013,100,136
2202_2014,96,127
2202_2015,102,130
2202_2010,110,131
2202_2009,94,111
2202_2008,108,138
2202_2007,86,115
2202_2006,114,131
2202_1010,105,127
2202_1009,87,114
2202_1008,90,118
2202_1007,99,121
2202_1006,95,112
2201_2012,102,120
2201_2011,102,130
2201_2010,102,120
2201_2009,99,109
2201_2008,104,126
2201_2007,102,112
2201_1012,99,134
2201_1011,105,120
2201_1010,102,136
2201_1009,106,136
2201_1008,98,126
2201_1007,96,121
2201_1001,85,114
2201_1002,107,119
2201_1003,107,128
2201_1004,106,128
2201_1005,103,131
2201_1006,85,100
2201_2001,111,132
2201_2002,95,103
2201_2003,102,132
2201_2004,107,132
2201_2005,104,133
2201_2006,114,129
2202_1001,89,121
2202_1002,100,131
2202_1003,92,104
2202_1004,99,124
2202_1005,104,126
2202_2001,103,131
2202_2002,99,128
2202_2003,104,130
2202_2004,112,145
2202_2005,99,118
